DATE,IHLIDXUSTPHUMARESO
2020-02-01,100.0
2020-02-02,99.72
2020-02-03,99.7
2020-02-04,99.75
2020-02-05,99.85
2020-02-06,99.93
2020-02-07,99.93
2020-02-08,100.08
2020-02-09,100.13
2020-02-10,100.22
2020-02-11,100.23
2020-02-12,100.13
2020-02-13,100.02
2020-02-14,99.96
2020-02-15,99.72
2020-02-16,99.63
2020-02-17,99.47
2020-02-18,99.36
2020-02-19,99.19
2020-02-20,99.02
2020-02-21,98.96
2020-02-22,98.72
2020-02-23,98.64
2020-02-24,98.56
2020-02-25,98.47
2020-02-26,98.46
2020-02-27,98.47
2020-02-28,98.38
2020-02-29,98.6
2020-03-01,98.56
2020-03-02,98.5
2020-03-03,98.41
2020-03-04,98.32
2020-03-05,98.19
2020-03-06,97.98
2020-03-07,97.86
2020-03-08,97.72
2020-03-09,97.55
2020-03-10,97.56
2020-03-11,97.59
2020-03-12,97.57
2020-03-13,97.52
2020-03-14,97.41
2020-03-15,97.23
2020-03-16,97.07
2020-03-17,96.49
2020-03-18,95.64
2020-03-19,94.53
2020-03-20,93.13
2020-03-21,91.29
2020-03-22,89.51
2020-03-23,87.71
2020-03-24,85.88
2020-03-25,84.03
2020-03-26,82.18
2020-03-27,80.14
2020-03-28,78.37
2020-03-29,76.53
2020-03-30,74.77
2020-03-31,72.74
2020-04-01,70.59
2020-04-02,68.59
2020-04-03,67.06
2020-04-04,65.58
2020-04-05,64.02
2020-04-06,62.35
2020-04-07,61.05
2020-04-08,60.19
2020-04-09,59.28
2020-04-10,58.36
2020-04-11,57.64
2020-04-12,56.91
2020-04-13,56.32
2020-04-14,55.83
2020-04-15,55.24
2020-04-16,54.76
2020-04-17,54.3
2020-04-18,53.78
2020-04-19,53.24
2020-04-20,52.77
2020-04-21,52.32
2020-04-22,51.84
2020-04-23,51.36
2020-04-24,50.9
2020-04-25,50.57
2020-04-26,50.26
2020-04-27,49.86
2020-04-28,49.48
2020-04-29,49.13
2020-04-30,48.77
2020-05-01,48.38
2020-05-02,47.99
2020-05-03,47.55
2020-05-04,47.21
2020-05-05,46.88
2020-05-06,46.69
2020-05-07,46.52
2020-05-08,46.42
2020-05-09,46.34
2020-05-10,46.35
2020-05-11,46.27
2020-05-12,46.2
2020-05-13,45.67
2020-05-14,45.3
2020-05-15,45.19
2020-05-16,44.96
2020-05-17,44.72
2020-05-18,44.49
2020-05-19,44.25
2020-05-20,44.52
2020-05-21,44.78
2020-05-22,44.84
2020-05-23,44.99
2020-05-24,45.05
2020-05-25,45.1
2020-05-26,45.18
2020-05-27,45.13
2020-05-28,45.0
2020-05-29,44.93
2020-05-30,45.11
2020-05-31,45.22
2020-06-01,45.26
2020-06-02,45.34
2020-06-03,45.46
2020-06-04,45.59
2020-06-05,45.74
2020-06-06,45.8
2020-06-07,45.96
2020-06-08,46.17
2020-06-09,46.36
2020-06-10,46.55
2020-06-11,46.72
2020-06-12,46.82
2020-06-13,46.82
2020-06-14,46.92
2020-06-15,47.05
2020-06-16,47.23
2020-06-17,47.43
2020-06-18,47.7
2020-06-19,47.94
2020-06-20,48.27
2020-06-21,48.52
2020-06-22,48.74
2020-06-23,48.9
2020-06-24,49.08
2020-06-25,49.25
2020-06-26,49.45
2020-06-27,49.66
2020-06-28,49.91
2020-06-29,50.19
2020-06-30,50.52
2020-07-01,50.73
2020-07-02,50.9
2020-07-03,51.11
2020-07-04,51.27
2020-07-05,51.41
2020-07-06,51.53
2020-07-07,51.67
2020-07-08,51.96
2020-07-09,52.31
2020-07-10,52.64
2020-07-11,53.0
2020-07-12,53.33
2020-07-13,53.65
2020-07-14,54.0
2020-07-15,54.24
2020-07-16,54.47
2020-07-17,54.67
2020-07-18,54.65
2020-07-19,54.87
2020-07-20,55.07
2020-07-21,55.29
2020-07-22,55.52
2020-07-23,55.78
2020-07-24,56.08
2020-07-25,56.54
2020-07-26,56.84
2020-07-27,57.14
2020-07-28,57.34
2020-07-29,57.56
2020-07-30,57.7
2020-07-31,57.85
2020-08-01,58.04
2020-08-02,58.17
2020-08-03,58.33
2020-08-04,58.55
2020-08-05,58.54
2020-08-06,58.58
2020-08-07,58.52
2020-08-08,58.57
2020-08-09,58.66
2020-08-10,58.74
2020-08-11,58.77
2020-08-12,58.78
2020-08-13,58.86
2020-08-14,59.12
2020-08-15,59.02
2020-08-16,59.12
2020-08-17,59.22
2020-08-18,59.38
2020-08-19,59.78
2020-08-20,60.07
2020-08-21,60.27
2020-08-22,60.72
2020-08-23,60.94
2020-08-24,61.14
2020-08-25,61.08
2020-08-26,61.06
2020-08-27,61.02
2020-08-28,60.98
2020-08-29,60.94
2020-08-30,60.91
2020-08-31,60.9
2020-09-01,61.06
2020-09-02,61.22
2020-09-03,61.67
2020-09-04,61.95
2020-09-05,62.27
2020-09-06,62.67
2020-09-07,63.06
2020-09-08,63.43
2020-09-09,63.81
2020-09-10,63.98
2020-09-11,64.31
2020-09-12,64.55
2020-09-13,64.68
2020-09-14,64.81
2020-09-15,64.94
2020-09-16,65.02
2020-09-17,65.08
2020-09-18,65.15
2020-09-19,65.21
2020-09-20,65.38
2020-09-21,65.49
2020-09-22,65.67
2020-09-23,65.89
2020-09-24,66.08
2020-09-25,66.35
2020-09-26,67.89
2020-09-27,68.14
2020-09-28,68.49
2020-09-29,68.85
2020-09-30,69.23
2020-10-01,69.5
2020-10-02,69.69
2020-10-03,68.69
2020-10-04,68.94
2020-10-05,69.15
2020-10-06,69.29
2020-10-07,69.41
2020-10-08,69.67
2020-10-09,69.95
2020-10-10,70.11
2020-10-11,70.32
2020-10-12,70.55
2020-10-13,70.77
2020-10-14,71.1
2020-10-15,71.42
2020-10-16,71.7
2020-10-17,71.92
2020-10-18,72.17
2020-10-19,72.39
2020-10-20,72.67
2020-10-21,72.87
2020-10-22,73.0
2020-10-23,73.17
2020-10-24,73.47
2020-10-25,73.71
2020-10-26,73.97
2020-10-27,74.25
2020-10-28,74.43
2020-10-29,74.77
2020-10-30,75.01
2020-10-31,75.25
2020-11-01,75.49
2020-11-02,75.74
2020-11-03,75.96
2020-11-04,76.22
2020-11-05,76.32
2020-11-06,76.51
2020-11-07,76.66
2020-11-08,76.82
2020-11-09,76.98
2020-11-10,77.07
2020-11-11,77.23
2020-11-12,77.44
2020-11-13,77.63
2020-11-14,77.59
2020-11-15,77.76
2020-11-16,77.92
2020-11-17,78.18
2020-11-18,78.37
2020-11-19,78.55
2020-11-20,78.74
2020-11-21,79.14
2020-11-22,79.38
2020-11-23,79.61
2020-11-24,79.8
2020-11-25,79.99
2020-11-26,80.23
2020-11-27,80.37
2020-11-28,80.42
2020-11-29,80.43
2020-11-30,80.42
2020-12-01,80.24
2020-12-02,80.05
2020-12-03,79.81
2020-12-04,79.66
2020-12-05,79.66
2020-12-06,79.62
2020-12-07,79.52
2020-12-08,79.6
2020-12-09,79.71
2020-12-10,79.81
2020-12-11,80.0
2020-12-12,79.87
2020-12-13,80.03
2020-12-14,80.23
2020-12-15,80.41
2020-12-16,80.59
2020-12-17,80.77
2020-12-18,80.8
2020-12-19,80.9
2020-12-20,80.77
2020-12-21,80.65
2020-12-22,80.5
2020-12-23,80.33
2020-12-24,80.15
2020-12-25,79.97
2020-12-26,79.91
2020-12-27,79.86
2020-12-28,79.82
2020-12-29,79.95
2020-12-30,80.18
2020-12-31,80.52
2021-01-01,80.95
2021-01-02,81.43
2021-01-03,81.96
2021-01-04,82.6
2021-01-05,83.14
2021-01-06,83.71
2021-01-07,84.3
2021-01-08,84.89
2021-01-09,85.41
2021-01-10,86.01
2021-01-11,86.47
2021-01-12,86.9
2021-01-13,87.27
2021-01-14,87.6
2021-01-15,87.98
2021-01-16,88.47
2021-01-17,88.8
2021-01-18,89.13
2021-01-19,89.41
2021-01-20,89.7
2021-01-21,89.92
2021-01-22,90.1
2021-01-23,89.95
2021-01-24,90.15
2021-01-25,90.42
2021-01-26,90.75
2021-01-27,91.14
2021-01-28,91.66
2021-01-29,92.2
2021-01-30,92.96
2021-01-31,93.47
2021-02-01,93.93
2021-02-02,94.4
2021-02-03,94.81
2021-02-04,95.05
2021-02-05,95.42
2021-02-06,95.73
2021-02-07,96.12
2021-02-08,96.51
2021-02-09,96.92
2021-02-10,97.3
2021-02-11,97.77
2021-02-12,98.13
2021-02-13,98.63
2021-02-14,99.02
2021-02-15,99.37
2021-02-16,99.6
2021-02-17,99.86
2021-02-18,100.05
2021-02-19,100.43
2021-02-20,100.42
2021-02-21,100.74
2021-02-22,101.11
2021-02-23,101.56
2021-02-24,102.07
2021-02-25,102.64
2021-02-26,103.03
2021-02-27,103.62
2021-02-28,103.99
2021-03-01,104.25
2021-03-02,104.45
2021-03-03,104.62
2021-03-04,104.84
2021-03-05,105.02
2021-03-06,105.09
2021-03-07,105.33
2021-03-08,105.69
2021-03-09,106.13
2021-03-10,106.57
2021-03-11,107.02
2021-03-12,107.46
2021-03-13,108.19
2021-03-14,108.68
2021-03-15,109.09
2021-03-16,109.55
2021-03-17,109.93
2021-03-18,110.29
2021-03-19,110.73
2021-03-20,111.02
2021-03-21,111.35
2021-03-22,111.76
2021-03-23,112.11
2021-03-24,112.41
2021-03-25,112.79
2021-03-26,113.2
2021-03-27,113.7
2021-03-28,114.17
2021-03-29,114.68
2021-03-30,115.23
2021-03-31,115.91
2021-04-01,116.47
2021-04-02,116.95
2021-04-03,117.41
2021-04-04,118.0
2021-04-05,118.59
2021-04-06,119.12
2021-04-07,119.63
2021-04-08,120.21
2021-04-09,120.88
2021-04-10,121.23
2021-04-11,121.59
2021-04-12,121.92
2021-04-13,122.3
2021-04-14,122.71
2021-04-15,123.08
2021-04-16,123.45
2021-04-17,124.12
2021-04-18,124.63
2021-04-19,125.11
2021-04-20,125.52
2021-04-21,125.95
2021-04-22,126.38
2021-04-23,126.77
2021-04-24,127.03
2021-04-25,127.26
2021-04-26,127.52
2021-04-27,127.82
2021-04-28,128.07
2021-04-29,128.41
2021-04-30,128.67
2021-05-01,128.91
2021-05-02,129.27
2021-05-03,129.65
2021-05-04,130.11
2021-05-05,130.6
2021-05-06,131.15
2021-05-07,131.76
2021-05-08,132.6
2021-05-09,133.4
2021-05-10,134.12
2021-05-11,134.81
2021-05-12,135.6
2021-05-13,136.29
2021-05-14,137.05
2021-05-15,137.63
2021-05-16,138.25
2021-05-17,138.83
2021-05-18,139.19
2021-05-19,139.39
2021-05-20,139.89
2021-05-21,140.31
2021-05-22,140.41
2021-05-23,140.96
2021-05-24,141.43
2021-05-25,142.02
2021-05-26,142.74
2021-05-27,143.18
2021-05-28,143.74
2021-05-29,144.72
2021-05-30,145.23
2021-05-31,145.86
2021-06-01,146.2
2021-06-02,146.58
2021-06-03,146.97
2021-06-04,147.27
2021-06-05,147.47
2021-06-06,147.71
2021-06-07,147.89
2021-06-08,148.22
2021-06-09,148.61
2021-06-10,148.95
2021-06-11,149.41
2021-06-12,149.7
2021-06-13,150.14
2021-06-14,150.66
2021-06-15,151.3
2021-06-16,151.79
2021-06-17,152.36
2021-06-18,152.89
2021-06-19,153.62
2021-06-20,154.08
2021-06-21,154.66
2021-06-22,155.23
2021-06-23,155.92
2021-06-24,156.45
2021-06-25,156.87
2021-06-26,157.64
2021-06-27,158.25
2021-06-28,158.89
2021-06-29,159.62
2021-06-30,160.12
2021-07-01,160.62
2021-07-02,161.23
2021-07-03,161.65
2021-07-04,162.29
2021-07-05,162.8
2021-07-06,163.3
2021-07-07,163.69
2021-07-08,164.22
2021-07-09,164.74
2021-07-10,164.91
2021-07-11,165.16
2021-07-12,165.31
2021-07-13,165.46
2021-07-14,165.75
2021-07-15,165.93
2021-07-16,165.97
2021-07-17,166.12
2021-07-18,166.43
2021-07-19,166.87
2021-07-20,167.3
2021-07-21,167.4
2021-07-22,167.48
2021-07-23,167.67
2021-07-24,167.78
2021-07-25,167.75
2021-07-26,167.62
2021-07-27,167.53
2021-07-28,167.7
2021-07-29,167.92
2021-07-30,167.84
2021-07-31,168.16
2021-08-01,168.27
2021-08-02,168.42
2021-08-03,168.55
2021-08-04,168.74
2021-08-05,169.03
2021-08-06,169.63
2021-08-07,169.47
2021-08-08,169.87
2021-08-09,170.3
2021-08-10,170.71
2021-08-11,171.17
2021-08-12,171.64
2021-08-13,172.12
2021-08-14,172.99
2021-08-15,173.52
2021-08-16,173.88
2021-08-17,174.33
2021-08-18,174.74
2021-08-19,175.22
2021-08-20,175.68
2021-08-21,176.57
2021-08-22,177.59
2021-08-23,178.61
2021-08-24,179.44
2021-08-25,180.12
2021-08-26,180.62
2021-08-27,181.03
2021-08-28,180.89
2021-08-29,180.67
2021-08-30,180.64
2021-08-31,180.59
2021-09-01,180.42
2021-09-02,180.49
2021-09-03,180.74
2021-09-04,180.9
2021-09-05,181.47
2021-09-06,182.06
2021-09-07,182.62
2021-09-08,183.49
2021-09-09,184.09
2021-09-10,184.61
2021-09-11,185.37
2021-09-12,185.6
2021-09-13,185.71
2021-09-14,186.03
2021-09-15,186.27
2021-09-16,186.41
2021-09-17,186.43
2021-09-18,186.52
2021-09-19,186.75
2021-09-20,187.0
2021-09-21,187.09
2021-09-22,187.27
2021-09-23,187.56
2021-09-24,187.9
2021-09-25,188.21
2021-09-26,188.52
2021-09-27,188.93
2021-09-28,189.62
2021-09-29,190.32
2021-09-30,190.87
2021-10-01,191.35
2021-10-02,191.93
2021-10-03,192.41
2021-10-04,192.75
2021-10-05,192.64
2021-10-06,192.76
2021-10-07,193.1
2021-10-08,193.66
2021-10-09,194.37
2021-10-10,194.96
2021-10-11,195.58
2021-10-12,196.42
2021-10-13,196.97
2021-10-14,197.64
2021-10-15,198.14
2021-10-16,198.01
2021-10-17,198.3
2021-10-18,198.64
2021-10-19,198.99
2021-10-20,199.32
2021-10-21,199.42
2021-10-22,199.56
2021-10-23,200.16
2021-10-24,200.48
2021-10-25,200.82
2021-10-26,201.19
2021-10-27,201.67
2021-10-28,202.26
2021-10-29,202.86
2021-10-30,203.41
2021-10-31,203.88
2021-11-01,204.42
2021-11-02,204.98
2021-11-03,205.46
2021-11-04,205.91
2021-11-05,206.44
2021-11-06,206.76
2021-11-07,207.51
2021-11-08,208.19
2021-11-09,208.76
2021-11-10,209.35
2021-11-11,210.35
2021-11-12,211.05
2021-11-13,212.24
2021-11-14,213.12
2021-11-15,213.9
2021-11-16,214.84
2021-11-17,215.86
2021-11-18,216.55
2021-11-19,217.58
2021-11-20,217.54
2021-11-21,218.23
2021-11-22,219.06
2021-11-23,219.59
2021-11-24,220.07
2021-11-25,220.35
2021-11-26,220.45
2021-11-27,221.22
2021-11-28,221.07
2021-11-29,220.76
2021-11-30,220.67
2021-12-01,220.37
2021-12-02,220.21
2021-12-03,219.98
2021-12-04,220.07
2021-12-05,220.34
2021-12-06,220.61
2021-12-07,220.79
2021-12-08,221.17
2021-12-09,221.64
2021-12-10,222.26
2021-12-11,222.32
2021-12-12,222.73
2021-12-13,223.21
2021-12-14,223.66
2021-12-15,223.98
2021-12-16,224.06
2021-12-17,224.19
2021-12-18,224.4
2021-12-19,224.27
2021-12-20,223.98
2021-12-21,223.15
2021-12-22,222.3
2021-12-23,221.56
2021-12-24,220.66
2021-12-25,220.04
2021-12-26,219.26
2021-12-27,218.7
2021-12-28,218.91
2021-12-29,219.2
2021-12-30,219.77
2021-12-31,220.53
2022-01-01,221.71
2022-01-02,222.69
2022-01-03,223.86
2022-01-04,225.37
2022-01-05,227.08
2022-01-06,228.08
2022-01-07,229.09
2022-01-08,229.01
2022-01-09,229.65
2022-01-10,229.87
2022-01-11,229.48
2022-01-12,228.91
2022-01-13,228.86
2022-01-14,228.27
2022-01-15,228.67
2022-01-16,228.63
2022-01-17,228.66
2022-01-18,228.87
2022-01-19,228.9
2022-01-20,228.84
2022-01-21,229.29
2022-01-22,229.19
2022-01-23,229.09
2022-01-24,229.01
2022-01-25,229.05
2022-01-26,229.25
2022-01-27,229.38
2022-01-28,229.42
2022-01-29,230.07
2022-01-30,230.91
2022-01-31,231.76
2022-02-01,232.36
2022-02-02,232.85
2022-02-03,233.38
2022-02-04,233.92
2022-02-05,234.12
2022-02-06,234.09
2022-02-07,233.87
2022-02-08,233.71
2022-02-09,233.78
2022-02-10,233.92
2022-02-11,233.94
2022-02-12,233.76
2022-02-13,233.45
2022-02-14,233.25
2022-02-15,232.95
2022-02-16,233.05
2022-02-17,232.79
2022-02-18,232.55
2022-02-19,231.95
2022-02-20,232.14
2022-02-21,232.51
2022-02-22,232.67
2022-02-23,232.54
2022-02-24,232.76
2022-02-25,233.05
2022-02-26,234.06
2022-02-27,234.23
