DATE,IHLIDXUSTPRETA
2020-02-01,100.0
2020-02-02,99.65
2020-02-03,99.11
2020-02-04,98.99
2020-02-05,98.89
2020-02-06,98.65
2020-02-07,98.37
2020-02-08,98.38
2020-02-09,98.34
2020-02-10,98.61
2020-02-11,98.59
2020-02-12,98.62
2020-02-13,98.78
2020-02-14,98.87
2020-02-15,99.11
2020-02-16,99.39
2020-02-17,99.53
2020-02-18,99.72
2020-02-19,99.85
2020-02-20,99.91
2020-02-21,100.24
2020-02-22,100.17
2020-02-23,100.13
2020-02-24,100.08
2020-02-25,99.98
2020-02-26,99.86
2020-02-27,99.84
2020-02-28,99.74
2020-02-29,99.71
2020-03-01,99.5
2020-03-02,99.32
2020-03-03,99.11
2020-03-04,98.86
2020-03-05,98.6
2020-03-06,98.23
2020-03-07,98.1
2020-03-08,98.01
2020-03-09,97.82
2020-03-10,97.73
2020-03-11,97.38
2020-03-12,96.89
2020-03-13,96.45
2020-03-14,95.81
2020-03-15,95.26
2020-03-16,94.82
2020-03-17,94.18
2020-03-18,93.84
2020-03-19,93.83
2020-03-20,93.5
2020-03-21,92.94
2020-03-22,92.4
2020-03-23,91.97
2020-03-24,91.4
2020-03-25,90.66
2020-03-26,89.37
2020-03-27,88.1
2020-03-28,87.12
2020-03-29,86.05
2020-03-30,84.87
2020-03-31,83.9
2020-04-01,82.42
2020-04-02,81.2
2020-04-03,80.19
2020-04-04,78.72
2020-04-05,77.29
2020-04-06,76.16
2020-04-07,74.95
2020-04-08,74.4
2020-04-09,73.75
2020-04-10,72.79
2020-04-11,72.27
2020-04-12,71.75
2020-04-13,70.88
2020-04-14,70.12
2020-04-15,69.29
2020-04-16,68.42
2020-04-17,67.61
2020-04-18,66.81
2020-04-19,65.98
2020-04-20,65.47
2020-04-21,64.87
2020-04-22,64.41
2020-04-23,63.97
2020-04-24,63.84
2020-04-25,63.76
2020-04-26,63.75
2020-04-27,63.53
2020-04-28,63.27
2020-04-29,63.08
2020-04-30,62.97
2020-05-01,62.83
2020-05-02,62.24
2020-05-03,61.58
2020-05-04,61.01
2020-05-05,60.56
2020-05-06,60.36
2020-05-07,60.22
2020-05-08,60.19
2020-05-09,60.72
2020-05-10,61.27
2020-05-11,61.66
2020-05-12,62.02
2020-05-13,61.85
2020-05-14,62.17
2020-05-15,62.64
2020-05-16,62.81
2020-05-17,63.03
2020-05-18,63.38
2020-05-19,63.73
2020-05-20,64.46
2020-05-21,64.99
2020-05-22,65.4
2020-05-23,66.02
2020-05-24,66.46
2020-05-25,66.96
2020-05-26,67.48
2020-05-27,67.99
2020-05-28,68.3
2020-05-29,68.64
2020-05-30,69.1
2020-05-31,69.64
2020-06-01,70.13
2020-06-02,70.64
2020-06-03,71.24
2020-06-04,71.82
2020-06-05,72.37
2020-06-06,72.77
2020-06-07,73.13
2020-06-08,73.45
2020-06-09,73.7
2020-06-10,73.85
2020-06-11,74.01
2020-06-12,74.2
2020-06-13,74.58
2020-06-14,75.19
2020-06-15,75.81
2020-06-16,76.62
2020-06-17,77.38
2020-06-18,78.14
2020-06-19,78.94
2020-06-20,79.82
2020-06-21,80.7
2020-06-22,81.6
2020-06-23,82.04
2020-06-24,82.44
2020-06-25,82.78
2020-06-26,82.94
2020-06-27,82.87
2020-06-28,82.72
2020-06-29,82.53
2020-06-30,82.85
2020-07-01,83.17
2020-07-02,83.49
2020-07-03,83.93
2020-07-04,84.43
2020-07-05,84.85
2020-07-06,85.32
2020-07-07,85.6
2020-07-08,86.12
2020-07-09,86.7
2020-07-10,87.29
2020-07-11,87.92
2020-07-12,88.6
2020-07-13,89.28
2020-07-14,89.96
2020-07-15,90.32
2020-07-16,90.65
2020-07-17,90.87
2020-07-18,90.98
2020-07-19,91.34
2020-07-20,91.74
2020-07-21,92.27
2020-07-22,92.97
2020-07-23,93.7
2020-07-24,94.88
2020-07-25,96.37
2020-07-26,97.64
2020-07-27,98.8
2020-07-28,99.89
2020-07-29,100.84
2020-07-30,101.66
2020-07-31,102.11
2020-08-01,101.87
2020-08-02,101.48
2020-08-03,100.94
2020-08-04,100.37
2020-08-05,99.96
2020-08-06,99.12
2020-08-07,98.27
2020-08-08,97.69
2020-08-09,97.17
2020-08-10,96.81
2020-08-11,96.41
2020-08-12,95.7
2020-08-13,95.4
2020-08-14,95.19
2020-08-15,94.88
2020-08-16,94.72
2020-08-17,94.61
2020-08-18,94.59
2020-08-19,94.81
2020-08-20,95.02
2020-08-21,95.16
2020-08-22,95.56
2020-08-23,95.78
2020-08-24,96.0
2020-08-25,96.25
2020-08-26,96.36
2020-08-27,96.51
2020-08-28,96.6
2020-08-29,96.72
2020-08-30,96.86
2020-08-31,96.98
2020-09-01,96.74
2020-09-02,96.51
2020-09-03,96.43
2020-09-04,96.41
2020-09-05,96.21
2020-09-06,96.11
2020-09-07,95.97
2020-09-08,95.96
2020-09-09,95.79
2020-09-10,95.8
2020-09-11,95.86
2020-09-12,95.92
2020-09-13,95.97
2020-09-14,95.99
2020-09-15,96.34
2020-09-16,96.87
2020-09-17,97.15
2020-09-18,97.32
2020-09-19,97.44
2020-09-20,97.63
2020-09-21,97.79
2020-09-22,97.85
2020-09-23,98.02
2020-09-24,98.19
2020-09-25,98.41
2020-09-26,98.63
2020-09-27,98.73
2020-09-28,98.94
2020-09-29,99.15
2020-09-30,99.13
2020-10-01,99.02
2020-10-02,98.98
2020-10-03,98.99
2020-10-04,99.07
2020-10-05,99.08
2020-10-06,99.16
2020-10-07,99.53
2020-10-08,99.97
2020-10-09,100.33
2020-10-10,100.83
2020-10-11,101.34
2020-10-12,101.88
2020-10-13,101.94
2020-10-14,101.86
2020-10-15,101.77
2020-10-16,101.93
2020-10-17,101.89
2020-10-18,101.95
2020-10-19,102.02
2020-10-20,102.46
2020-10-21,102.8
2020-10-22,103.15
2020-10-23,103.17
2020-10-24,103.37
2020-10-25,103.37
2020-10-26,103.39
2020-10-27,103.39
2020-10-28,103.35
2020-10-29,103.24
2020-10-30,103.16
2020-10-31,102.95
2020-11-01,102.81
2020-11-02,102.58
2020-11-03,102.35
2020-11-04,102.32
2020-11-05,102.36
2020-11-06,102.37
2020-11-07,102.75
2020-11-08,103.15
2020-11-09,103.59
2020-11-10,104.14
2020-11-11,104.58
2020-11-12,104.96
2020-11-13,105.44
2020-11-14,105.46
2020-11-15,105.62
2020-11-16,105.81
2020-11-17,105.64
2020-11-18,105.47
2020-11-19,105.32
2020-11-20,105.15
2020-11-21,105.22
2020-11-22,105.17
2020-11-23,105.18
2020-11-24,105.42
2020-11-25,105.62
2020-11-26,105.81
2020-11-27,105.85
2020-11-28,105.79
2020-11-29,105.66
2020-11-30,105.44
2020-12-01,105.07
2020-12-02,104.56
2020-12-03,104.12
2020-12-04,103.8
2020-12-05,103.47
2020-12-06,103.11
2020-12-07,102.94
2020-12-08,103.03
2020-12-09,103.18
2020-12-10,103.31
2020-12-11,103.61
2020-12-12,103.99
2020-12-13,104.57
2020-12-14,105.09
2020-12-15,105.48
2020-12-16,106.16
2020-12-17,106.75
2020-12-18,107.01
2020-12-19,107.21
2020-12-20,107.31
2020-12-21,107.31
2020-12-22,107.3
2020-12-23,107.13
2020-12-24,106.86
2020-12-25,106.72
2020-12-26,106.58
2020-12-27,106.43
2020-12-28,106.26
2020-12-29,106.04
2020-12-30,105.69
2020-12-31,105.24
2021-01-01,104.5
2021-01-02,103.4
2021-01-03,102.14
2021-01-04,100.74
2021-01-05,99.4
2021-01-06,98.79
2021-01-07,98.21
2021-01-08,98.04
2021-01-09,98.17
2021-01-10,98.55
2021-01-11,99.11
2021-01-12,99.79
2021-01-13,99.69
2021-01-14,99.9
2021-01-15,99.87
2021-01-16,100.02
2021-01-17,100.02
2021-01-18,99.98
2021-01-19,99.78
2021-01-20,99.93
2021-01-21,99.79
2021-01-22,99.71
2021-01-23,99.36
2021-01-24,99.16
2021-01-25,98.94
2021-01-26,98.89
2021-01-27,98.52
2021-01-28,98.43
2021-01-29,98.32
2021-01-30,98.48
2021-01-31,98.51
2021-02-01,98.51
2021-02-02,98.74
2021-02-03,99.19
2021-02-04,99.21
2021-02-05,99.8
2021-02-06,100.25
2021-02-07,100.77
2021-02-08,101.24
2021-02-09,101.53
2021-02-10,101.79
2021-02-11,102.52
2021-02-12,102.82
2021-02-13,102.9
2021-02-14,103.23
2021-02-15,103.59
2021-02-16,103.8
2021-02-17,103.42
2021-02-18,103.2
2021-02-19,103.01
2021-02-20,103.26
2021-02-21,103.23
2021-02-22,103.23
2021-02-23,103.23
2021-02-24,103.72
2021-02-25,104.0
2021-02-26,104.29
2021-02-27,104.45
2021-02-28,104.58
2021-03-01,104.53
2021-03-02,104.53
2021-03-03,104.61
2021-03-04,104.65
2021-03-05,104.69
2021-03-06,104.56
2021-03-07,104.59
2021-03-08,104.83
2021-03-09,105.17
2021-03-10,105.51
2021-03-11,106.0
2021-03-12,106.48
2021-03-13,107.17
2021-03-14,107.68
2021-03-15,108.17
2021-03-16,108.52
2021-03-17,108.66
2021-03-18,109.04
2021-03-19,109.42
2021-03-20,109.74
2021-03-21,110.07
2021-03-22,110.37
2021-03-23,110.83
2021-03-24,111.58
2021-03-25,112.16
2021-03-26,112.73
2021-03-27,113.34
2021-03-28,113.93
2021-03-29,114.57
2021-03-30,115.11
2021-03-31,115.68
2021-04-01,116.0
2021-04-02,116.27
2021-04-03,116.59
2021-04-04,116.99
2021-04-05,117.36
2021-04-06,117.87
2021-04-07,118.27
2021-04-08,118.79
2021-04-09,119.39
2021-04-10,120.01
2021-04-11,120.52
2021-04-12,121.13
2021-04-13,121.57
2021-04-14,122.18
2021-04-15,122.77
2021-04-16,123.31
2021-04-17,123.59
2021-04-18,124.12
2021-04-19,124.54
2021-04-20,125.07
2021-04-21,125.5
2021-04-22,125.88
2021-04-23,126.31
2021-04-24,126.95
2021-04-25,127.27
2021-04-26,127.62
2021-04-27,127.9
2021-04-28,128.15
2021-04-29,128.36
2021-04-30,128.38
2021-05-01,128.45
2021-05-02,128.43
2021-05-03,128.52
2021-05-04,128.5
2021-05-05,128.46
2021-05-06,128.59
2021-05-07,128.77
2021-05-08,128.75
2021-05-09,129.22
2021-05-10,129.61
2021-05-11,130.08
2021-05-12,130.74
2021-05-13,131.28
2021-05-14,131.64
2021-05-15,132.1
2021-05-16,132.09
2021-05-17,131.81
2021-05-18,131.71
2021-05-19,131.22
2021-05-20,130.82
2021-05-21,130.56
2021-05-22,130.1
2021-05-23,129.96
2021-05-24,130.01
2021-05-25,129.89
2021-05-26,130.0
2021-05-27,130.19
2021-05-28,130.48
2021-05-29,131.07
2021-05-30,131.49
2021-05-31,132.0
2021-06-01,132.28
2021-06-02,132.55
2021-06-03,132.73
2021-06-04,132.88
2021-06-05,132.85
2021-06-06,132.87
2021-06-07,132.64
2021-06-08,132.63
2021-06-09,132.58
2021-06-10,132.39
2021-06-11,132.24
2021-06-12,132.21
2021-06-13,132.15
2021-06-14,132.4
2021-06-15,132.68
2021-06-16,132.88
2021-06-17,132.94
2021-06-18,133.22
2021-06-19,133.67
2021-06-20,134.08
2021-06-21,134.47
2021-06-22,134.73
2021-06-23,135.22
2021-06-24,135.86
2021-06-25,136.23
2021-06-26,136.51
2021-06-27,136.7
2021-06-28,136.92
2021-06-29,137.13
2021-06-30,137.17
2021-07-01,137.21
2021-07-02,137.19
2021-07-03,137.25
2021-07-04,137.39
2021-07-05,137.51
2021-07-06,137.64
2021-07-07,137.82
2021-07-08,138.02
2021-07-09,138.35
2021-07-10,138.43
2021-07-11,138.51
2021-07-12,138.48
2021-07-13,138.55
2021-07-14,138.51
2021-07-15,138.69
2021-07-16,138.73
2021-07-17,138.67
2021-07-18,138.97
2021-07-19,139.37
2021-07-20,139.64
2021-07-21,140.09
2021-07-22,140.05
2021-07-23,140.27
2021-07-24,140.7
2021-07-25,140.68
2021-07-26,140.67
2021-07-27,140.69
2021-07-28,140.77
2021-07-29,140.98
2021-07-30,140.79
2021-07-31,140.83
2021-08-01,140.56
2021-08-02,139.97
2021-08-03,139.41
2021-08-04,138.7
2021-08-05,138.27
2021-08-06,138.02
2021-08-07,137.36
2021-08-08,137.17
2021-08-09,137.24
2021-08-10,137.35
2021-08-11,137.44
2021-08-12,137.47
2021-08-13,137.61
2021-08-14,137.89
2021-08-15,137.98
2021-08-16,138.04
2021-08-17,137.92
2021-08-18,138.08
2021-08-19,138.46
2021-08-20,138.69
2021-08-21,138.87
2021-08-22,139.21
2021-08-23,139.53
2021-08-24,139.88
2021-08-25,140.26
2021-08-26,140.24
2021-08-27,140.32
2021-08-28,140.42
2021-08-29,140.46
2021-08-30,140.57
2021-08-31,140.89
2021-09-01,140.72
2021-09-02,140.56
2021-09-03,140.31
2021-09-04,140.1
2021-09-05,140.05
2021-09-06,139.96
2021-09-07,139.59
2021-09-08,139.47
2021-09-09,139.45
2021-09-10,139.25
2021-09-11,138.94
2021-09-12,138.43
2021-09-13,138.0
2021-09-14,137.96
2021-09-15,137.84
2021-09-16,137.65
2021-09-17,137.39
2021-09-18,137.41
2021-09-19,137.51
2021-09-20,137.53
2021-09-21,137.39
2021-09-22,137.56
2021-09-23,137.64
2021-09-24,137.96
2021-09-25,137.86
2021-09-26,137.9
2021-09-27,137.84
2021-09-28,137.99
2021-09-29,137.71
2021-09-30,137.65
2021-10-01,137.85
2021-10-02,137.95
2021-10-03,137.86
2021-10-04,137.69
2021-10-05,137.62
2021-10-06,137.99
2021-10-07,138.42
2021-10-08,138.66
2021-10-09,139.36
2021-10-10,139.66
2021-10-11,140.43
2021-10-12,140.8
2021-10-13,140.97
2021-10-14,141.09
2021-10-15,141.3
2021-10-16,141.13
2021-10-17,141.45
2021-10-18,141.72
2021-10-19,142.14
2021-10-20,142.63
2021-10-21,143.16
2021-10-22,143.68
2021-10-23,144.46
2021-10-24,145.19
2021-10-25,145.64
2021-10-26,145.88
2021-10-27,145.9
2021-10-28,145.78
2021-10-29,145.69
2021-10-30,145.82
2021-10-31,145.82
2021-11-01,146.01
2021-11-02,146.3
2021-11-03,146.57
2021-11-04,146.91
2021-11-05,147.32
2021-11-06,147.33
2021-11-07,147.59
2021-11-08,147.84
2021-11-09,147.9
2021-11-10,148.23
2021-11-11,148.6
2021-11-12,148.78
2021-11-13,148.69
2021-11-14,148.62
2021-11-15,148.57
2021-11-16,148.74
2021-11-17,148.78
2021-11-18,148.74
2021-11-19,149.54
2021-11-20,150.71
2021-11-21,152.01
2021-11-22,153.21
2021-11-23,153.71
2021-11-24,154.22
2021-11-25,154.68
2021-11-26,154.36
2021-11-27,154.05
2021-11-28,153.52
2021-11-29,153.03
2021-11-30,153.21
2021-12-01,153.45
2021-12-02,153.81
2021-12-03,154.13
2021-12-04,155.56
2021-12-05,156.97
2021-12-06,158.68
2021-12-07,159.96
2021-12-08,161.32
2021-12-09,162.37
2021-12-10,164.04
2021-12-11,164.56
2021-12-12,165.34
2021-12-13,165.82
2021-12-14,166.6
2021-12-15,167.24
2021-12-16,167.23
2021-12-17,166.78
2021-12-18,165.74
2021-12-19,164.61
2021-12-20,163.3
2021-12-21,162.2
2021-12-22,160.78
2021-12-23,160.22
2021-12-24,159.3
2021-12-25,158.96
2021-12-26,158.47
2021-12-27,158.29
2021-12-28,157.86
2021-12-29,157.41
2021-12-30,156.73
2021-12-31,155.75
2022-01-01,154.58
2022-01-02,152.87
2022-01-03,150.93
2022-01-04,148.9
2022-01-05,147.11
2022-01-06,145.66
2022-01-07,144.95
2022-01-08,144.43
2022-01-09,144.47
2022-01-10,144.54
2022-01-11,144.86
2022-01-12,145.18
2022-01-13,145.1
2022-01-14,144.28
2022-01-15,143.74
2022-01-16,143.22
2022-01-17,142.59
2022-01-18,142.01
2022-01-19,141.42
2022-01-20,140.83
2022-01-21,140.7
2022-01-22,140.16
2022-01-23,139.56
2022-01-24,139.12
2022-01-25,138.59
2022-01-26,138.35
2022-01-27,138.27
2022-01-28,138.06
2022-01-29,138.02
2022-01-30,138.32
2022-01-31,138.34
2022-02-01,138.43
2022-02-02,138.17
2022-02-03,138.06
2022-02-04,138.11
2022-02-05,138.09
2022-02-06,137.64
2022-02-07,137.36
2022-02-08,136.99
2022-02-09,136.82
2022-02-10,136.76
2022-02-11,136.67
2022-02-12,136.9
2022-02-13,137.28
2022-02-14,137.7
2022-02-15,138.27
2022-02-16,138.76
2022-02-17,138.78
2022-02-18,139.07
2022-02-19,138.88
2022-02-20,138.7
2022-02-21,138.32
2022-02-22,137.8
2022-02-23,136.97
2022-02-24,136.58
2022-02-25,135.93
